vat,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol
Vat 1,7.4,0.7,0.001,1.9,0.076,11,34,0.9978,3.51,0.56,9.4
Vat 2,7.3,0.65,0.001,1.2,0.065,15,21,0.9946,3.39,0.47,10
Vat 3,7.4,0.59,0.08,4.4,0.086,6,29,0.9974,3.38,0.5,9
Vat 4,7.9,0.32,0.51,1.8,0.341,17,56,0.9969,3.04,1.08,9.2
Vat 5,7.7,0.58,0.1,1.8,0.102,28,109,0.99565,3.08,0.49,9.8
Vat 6,15,0.21,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,9.2
Vat 7,6.9,0.48,0.2,1.9,0.082,9,23,0.99585,3.39,0.43,9.05
Vat 8,6.1,0.32,0.25,2.3,0.071,23,58,0.99633,3.42,0.97,10.6
Vat 9,7.1,0.68,0.07,1.9,0.075,16,51,0.99685,3.38,0.52,9.5
Vat 10,6.6,0.56,0.14,2.4,0.064,13,29,0.99397,3.42,0.62,11.7